	a0	a1	a2	x	y	z
0	0.205601	0.535462	0.487872	127.95403	95.41964	136.44716
1	0.205577	0.535262	0.48795	127.8735	94.326065	136.68481
2	0.205616	0.535268	0.487944	128.09059	93.11931	137.30226
3	0.205623	0.535163	0.487907	128.30872	91.62688	137.82184
4	0.205579	0.535387	0.487867	128.7964	89.23328	139.2398
5	0.205582	0.535237	0.487919	129.28409	86.839676	140.65778
6	0.205581	0.535178	0.487907	129.77177	84.446075	142.07574
7	0.205636	0.535224	0.487843	130.25946	82.052475	143.49371
8	0.205576	0.535174	0.487808	128.32297	80.437836	141.8835
9	0.205573	0.535354	0.487872	128.193	78.70648	143.24557
10	0.205569	0.535216	0.487835	128.063	76.97513	144.60764
11	0.205626	0.535311	0.487884	127.93303	75.24378	145.96971
12	0.205579	0.535297	0.487863	127.803055	73.51243	147.33177
13	0.205603	0.535493	0.487881	127.67307	71.781075	148.69385
14	0.205611	0.535369	0.487866	125.248795	70.63592	149.36299
15	0.205574	0.535585	0.487893	122.82451	69.49077	150.03215
16	0.205592	0.535544	0.487845	120.40023	68.34561	150.7013
17	0.205557	0.535405	0.487865	117.97595	67.20046	151.37045
18	0.205544	0.535381	0.487895	115.55167	66.055305	152.0396
19	0.205573	0.53544	0.487759	113.12739	64.91016	152.70874
20	0.205538	0.535624	0.487826	110.70311	63.765	153.3779
21	0.205584	0.535382	0.487725	108.278824	62.619846	154.04704
22	0.205602	0.535467	0.487775	105.854546	61.474693	154.7162
23	0.205584	0.535461	0.487737	103.43027	60.32954	155.38535
24	0.20557	0.53543	0.487731	101.00598	59.184387	156.0545
25	0.205613	0.535407	0.48774	98.5817	58.039234	156.72365
26	0.205615	0.535324	0.487753	96.157425	56.89408	157.39279
27	0.205584	0.53528	0.487772	93.73315	55.748928	158.06195
28	0.205547	0.535419	0.487754	91.30886	54.603775	158.7311
29	0.205601	0.535337	0.487753	88.88458	53.458622	159.40025
30	0.205575	0.535426	0.48776	86.460304	52.313465	160.0694
31	0.205569	0.535395	0.487771	84.03602	51.168312	160.73854
32	0.205578	0.535374	0.487797	81.61174	50.02316	161.4077
33	0.20565	0.535345	0.487815	79.18746	48.878006	162.07684
34	0.205581	0.535258	0.487789	76.763176	47.732853	162.746
35	0.205612	0.535307	0.487766	74.3389	46.5877	163.41515
36	0.205611	0.535409	0.487713	72.67833	45.01103	156.39235
37	0.205553	0.535133	0.487762	72.9652	44.940083	155.90276
38	0.205598	0.535357	0.487804	74.59845	46.29733	160.84216
39	0.20556	0.535279	0.487758	75.166245	46.690346	162.72142
40	0.205572	0.535249	0.487781	72.67833	45.01103	156.39235
41	0.205576	0.535316	0.487765	74.9307	46.570774	161.35776
42	0.2056	0.535295	0.487783	74.57563	46.542007	161.2495
43	0.205609	0.535304	0.487706	72.33452	44.983097	156.2878
44	0.205628	0.535	0.487756	72.33452	44.983097	156.2878
45	0.205611	0.535087	0.487752	74.57563	46.542007	161.2495
46	0.205578	0.535098	0.487714	74.57563	46.542007	161.2495
47	0.205564	0.535275	0.487678	72.33452	44.983097	156.2878
48	0.205616	0.5354	0.4877	74.57563	46.542007	161.2495
49	0.205566	0.535194	0.487685	74.57563	46.542007	161.2495
