	a0	a1	a2	x	y	z
0	0.167541	0.765954	0.780648	128.05908	100.35074	134.57358
1	0.167601	0.765832	0.780868	128.05908	100.35074	134.57358
2	0.167583	0.765509	0.78101	128.05908	100.35074	134.57358
3	0.167564	0.765717	0.781057	128.05908	100.35074	134.57358
4	0.167569	0.764815	0.781028	128.05908	100.35074	134.57358
5	0.16756	0.7655	0.780953	127.97166	100.29598	134.79202
6	0.167635	0.765815	0.781054	125.145294	98.0485	131.85483
7	0.167612	0.76579	0.781367	127.417175	99.68187	134.36096
8	0.167577	0.765847	0.781253	126.9814	99.13993	134.3204
9	0.167602	0.765214	0.781048	127.03288	98.8063	134.2815
10	0.167584	0.765816	0.78108	125.95112	97.65348	133.4922
11	0.167595	0.765938	0.781257	125.97754	97.21255	133.53911
12	0.167602	0.765825	0.781273	127.57341	97.84545	135.38585
13	0.167612	0.765746	0.78157	128.56917	97.72689	136.64214
14	0.167559	0.76555	0.781652	129.96294	97.75502	138.38309
15	0.167548	0.765718	0.78169	128.40968	95.4814	137.04633
16	0.16754	0.765539	0.781685	129.83994	95.35488	138.89093
17	0.167572	0.765066	0.781451	129.75995	93.701256	139.2522
18	0.167575	0.765124	0.781336	129.968	90.97902	140.32706
19	0.167587	0.765447	0.781202	130.17606	88.25679	141.40193
20	0.167553	0.765248	0.781123	130.38412	85.53455	142.4768
21	0.167593	0.764837	0.781539	130.59218	82.81232	143.55167
22	0.167607	0.765193	0.781511	129.99622	82.05498	143.48247
23	0.167561	0.765261	0.781431	131.37886	82.4984	145.61472
24	0.16761	0.765114	0.781624	130.63475	80.50418	146.34877
25	0.167621	0.765086	0.781482	129.89064	78.50997	147.08281
26	0.167623	0.765195	0.781481	129.14653	76.515755	147.81686
27	0.167569	0.765246	0.781586	128.40242	74.52154	148.55092
28	0.167559	0.765466	0.781744	127.65831	72.52733	149.28496
29	0.167583	0.766046	0.781581	126.9142	70.53311	150.01901
30	0.167586	0.765504	0.781498	124.106865	69.2457	150.24777
31	0.167567	0.765429	0.781673	121.29953	67.95828	150.47652
32	0.167574	0.765608	0.781606	118.4922	66.67087	150.70528
33	0.167559	0.765188	0.781548	115.68487	65.38345	150.93404
34	0.167563	0.766195	0.781792	112.87753	64.09604	151.16278
35	0.167584	0.766251	0.781391	110.070206	62.808624	151.39154
36	0.167594	0.76604	0.781432	107.26287	61.52121	151.6203
37	0.167599	0.765728	0.78144	104.455536	60.233795	151.84906
38	0.167636	0.765494	0.781436	101.6482	58.94638	152.0778
39	0.167603	0.765438	0.78133	98.840866	57.658966	152.30656
40	0.1676	0.765736	0.781633	96.03354	56.37155	152.53532
41	0.167593	0.765453	0.781097	93.226204	55.084137	152.76407
42	0.167579	0.765551	0.781395	90.41887	53.796722	152.99283
43	0.167589	0.765667	0.781214	87.61154	52.509308	153.22159
44	0.167589	0.765323	0.781178	84.80421	51.221893	153.45035
45	0.16757	0.764701	0.781063	81.99687	49.93448	153.6791
46	0.167608	0.764671	0.780923	79.18954	48.647064	153.90785
47	0.167589	0.764986	0.78122	76.3822	47.35965	154.13661
48	0.167548	0.765864	0.781256	73.574875	46.072235	154.36536
49	0.167593	0.765225	0.781212	70.76754	44.78482	154.59412
50	0.167599	0.764923	0.78125	72.932335	45.79624	158.06108
51	0.167568	0.76492	0.781096	75.82317	47.22519	161.68459
52	0.167625	0.765179	0.781153	73.89382	46.112457	157.69867
53	0.16759	0.76563	0.780915	75.386024	47.439598	162.51807
54	0.167623	0.76597	0.781016	73.20338	45.855263	157.32549
55	0.167578	0.766027	0.780999	75.467186	47.195763	161.576
56	0.167583	0.765766	0.781188	71.90033	45.23855	154.67476
57	0.167604	0.765394	0.781431	73.068535	45.82728	157.39911
58	0.167616	0.765322	0.781431	75.252754	47.195614	161.40419
59	0.167589	0.765531	0.78115	75.510635	47.29071	162.15872
60	0.167573	0.765759	0.781277	73.068535	45.82728	157.39911
61	0.167618	0.765759	0.781097	73.068535	45.82728	157.39911
62	0.167596	0.765462	0.781304	73.068535	45.82728	157.39911
63	0.167614	0.765186	0.780384	72.64584	45.588165	156.33263
