	a0	a1	a2	x	y	z
0	0.552621	3.489911	0.66997	58.882637	109.69354	151.38095
1	0.552549	3.484446	0.668209	58.393017	109.46276	150.98245
2	0.552842	3.485641	0.670956	57.938305	109.25541	150.62169
3	0.552856	3.48497	0.668557	57.517357	109.070595	150.29724
4	0.552721	3.485539	0.670876	57.129025	108.907425	150.00772
5	0.552712	3.483476	0.66859	56.772167	108.76502	149.75172
6	0.552869	3.484702	0.67136	56.445644	108.64249	149.52785
7	0.552786	3.482635	0.668783	56.14831	108.53894	149.33469
8	0.552715	3.482688	0.671438	55.87902	108.45348	149.17087
9	0.552666	3.482407	0.668735	55.636635	108.38524	149.03496
10	0.552707	3.481492	0.672014	55.420006	108.333305	148.92558
11	0.552703	3.480319	0.668827	55.227993	108.29681	148.84132
12	0.552609	3.482041	0.671931	55.059456	108.27484	148.78079
13	0.55263	3.48073	0.669135	54.913242	108.26653	148.7426
14	0.552633	3.478281	0.672283	54.78822	108.27099	148.72533
15	0.552583	3.482365	0.669117	54.683235	108.287315	148.72758
16	0.552676	3.478382	0.672254	54.597153	108.31463	148.74796
17	0.552631	3.482652	0.669213	54.528828	108.352036	148.78508
18	0.552579	3.478399	0.672667	54.47711	108.39865	148.83751
19	0.552547	3.480162	0.669422	54.440865	108.45359	148.90388
20	0.552503	3.477742	0.672396	54.418945	108.51596	148.98279
21	0.552628	3.480584	0.669561	54.41021	108.58487	149.07281
22	0.552288	3.477565	0.672929	54.413513	108.65943	149.17258
23	0.55246	3.481096	0.66975	54.42771	108.73876	149.28067
24	0.552455	3.476439	0.673113	54.45166	108.82197	149.3957
25	0.552615	3.481046	0.669937	54.484222	108.90816	149.51627
26	0.55242	3.47812	0.673288	54.48329	108.99012	149.62027
27	0.552444	3.479784	0.669985	54.470932	109.0194	149.65982
28	0.552398	3.474868	0.673491	54.505066	109.11756	149.79733
29	0.5525	3.477767	0.670108	54.556145	109.21508	149.93713
30	0.552187	3.475361	0.673665	54.583694	109.23701	149.97289
31	0.55222	3.477555	0.670281	54.689735	109.38905	150.18782
32	0.552204	3.477649	0.673744	54.772324	109.47323	150.3146
33	0.55236	3.477231	0.670459	54.84617	109.52719	150.39642
34	0.552155	3.476778	0.673765	54.885296	109.50563	150.37628
35	0.552198	3.480159	0.670512	54.91759	109.48943	150.36815
36	0.552206	3.474117	0.674015	54.901424	109.43287	150.29733
37	0.552068	3.476984	0.670656	54.885452	109.43114	150.29587
38	0.551836	3.474641	0.673839	54.870815	109.4369	150.30429
39	0.552003	3.477234	0.670808	54.945004	109.582085	150.50107
40	0.552234	3.47119	0.674328	54.96778	109.60261	150.52898
41	0.552061	3.474479	0.670899	54.972507	109.61008	150.53531
42	0.551904	3.472487	0.674346	54.979588	109.63677	150.56993
43	0.551945	3.476824	0.671135	54.95416	109.59591	150.51442
44	0.552118	3.474822	0.674164	54.932888	109.54632	150.44717
45	0.551888	3.47662	0.671327	54.93216	109.52978	150.43053
46	0.551707	3.476895	0.674832	54.9951	109.64773	150.59746
47	0.551892	3.479045	0.671296	54.98031	109.619934	150.56322
48	0.551817	3.474738	0.674543	55.026157	109.7067	150.68279
49	0.551852	3.479372	0.671435	55.032204	109.71018	150.6873
50	0.551459	3.472766	0.674727	55.073452	109.78801	150.7955
51	0.551555	3.474265	0.671738	55.078503	109.79812	150.80663
52	0.551513	3.474139	0.674659	55.120445	109.87823	150.91574
53	0.55146	3.475945	0.671881	55.156322	109.947075	151.00598
54	0.551412	3.472444	0.674487	55.12207	109.88697	150.91649
55	0.551227	3.478308	0.672503	55.101543	109.85593	150.87236
56	0.551239	3.475496	0.674169	55.090992	109.83639	150.84341
57	0.55121	3.479176	0.672965	55.1002	109.86071	150.87132
58	0.55161	3.475035	0.673903	55.10476	109.87503	150.8805
59	0.551575	3.476388	0.673251	55.11917	109.90639	150.92151
60	0.551365	3.473336	0.673978	55.133446	109.941635	150.96228
61	0.551595	3.476963	0.673687	55.13557	109.945076	150.96002
62	0.551608	3.472949	0.674105	55.16185	109.995155	151.0198
63	0.551647	3.476183	0.673717	55.093884	109.86964	150.84697
64	0.551598	3.473327	0.67386	55.065838	109.81816	150.76765
65	0.551837	3.47503	0.674386	55.043846	109.7706	150.69986
66	0.551804	3.475657	0.673756	55.04394	109.769684	150.69344
67	0.551432	3.475335	0.674837	54.972687	109.63261	150.50319
68	0.551475	3.475016	0.673258	55.0062	109.69437	150.58342
69	0.551662	3.475998	0.675162	55.036003	109.74909	150.65453
70	0.551453	3.473752	0.67354	54.99551	109.67136	150.5442
71	0.551397	3.475513	0.675403	55.02534	109.72323	150.61488
72	0.551311	3.475122	0.673744	55.0626	109.79242	150.70694
73	0.551547	3.472667	0.675438	55.067505	109.80087	150.7161
74	0.551311	3.472434	0.673561	55.013287	109.703964	150.57567
75	0.551415	3.474093	0.675997	54.998688	109.67486	150.5344
76	0.550887	3.474388	0.673534	54.974476	109.62756	150.46866
77	0.551128	3.471397	0.676382	54.87375	109.436066	150.20534
78	0.551198	3.474993	0.673062	54.845085	109.38021	150.12888
79	0.551523	3.473645	0.676664	54.807014	109.30654	150.02847
80	0.551657	3.475947	0.673506	54.73723	109.17605	149.84804
81	0.55188	3.473404	0.676923	54.685818	109.07643	149.71355
82	0.551948	3.476718	0.673771	54.62558	108.96012	149.55661
83	0.552371	3.476314	0.676698	54.52648	108.77081	149.29987
84	0.552374	3.480871	0.674012	54.425385	108.5776	149.03827
85	0.552504	3.475079	0.677051	54.35447	108.43832	148.85637
86	0.552655	3.475767	0.673933	54.292503	108.31647	148.69783
87	0.552927	3.471278	0.677113	54.215508	108.1697	148.49945
88	0.552886	3.474047	0.67334	54.211807	108.158134	148.48978
89	0.55286	3.466089	0.676893	54.175533	108.085686	148.39922
90	0.552917	3.467317	0.673734	54.080067	107.90475	148.15413
91	0.553257	3.459016	0.676897	54.036266	107.82129	148.04353
92	0.553276	3.463928	0.673591	54.040268	107.82778	148.05981
93	0.553351	3.458756	0.676687	54.043365	107.82958	148.07217
94	0.553605	3.464303	0.673507	54.056503	107.85077	148.11076
95	0.554156	3.462681	0.676651	54.114586	107.957115	148.26332
96	0.55423	3.467359	0.673864	54.146458	108.01797	148.3474
97	0.554531	3.464907	0.676978	54.176598	108.0766	148.42752
98	0.554749	3.468727	0.673651	54.2053	108.13355	148.50444
99	0.555057	3.465398	0.676439	54.190624	108.10978	148.47282
100	0.555124	3.471325	0.67377	54.20952	108.150314	148.52592
101	0.555273	3.469163	0.676859	54.227562	108.19029	148.5773
102	0.555597	3.470306	0.673711	54.245052	108.23026	148.6277
103	0.555769	3.46058	0.676526	54.26229	108.2708	148.67787
104	0.555901	3.460467	0.673082	54.237328	108.23282	148.62245
105	0.556335	3.448624	0.675591	54.276543	108.313354	148.73233
106	0.556355	3.451694	0.672561	54.306316	108.3723	148.8065
107	0.556434	3.449085	0.675555	54.30333	108.37986	148.80656
108	0.556598	3.4486	0.67235	54.276825	108.33583	148.73853
109	0.556636	3.44629	0.675179	54.29954	108.38419	148.8034
110	0.556874	3.447107	0.671758	54.27395	108.34112	148.73482
111	0.557077	3.439162	0.67512	54.2343	108.264786	148.62614
112	0.557131	3.439061	0.671663	54.190113	108.18673	148.51547
113	0.557489	3.436327	0.674749	54.1515	108.117615	148.42065
114	0.557628	3.443702	0.671462	54.167286	108.14726	148.45343
115	0.558277	3.443803	0.674227	54.19611	108.20106	148.52797
116	0.55826	3.447371	0.671611	54.182095	108.18102	148.49605
117	0.559024	3.445561	0.674545	54.184746	108.18789	148.50417
118	0.55935	3.447943	0.671163	54.22539	108.26743	148.60948
119	0.55978	3.447002	0.674494	54.22511	108.26534	148.60818
120	0.559886	3.450213	0.6709	54.18164	108.182076	148.49802
121	0.560882	3.447734	0.674323	54.25328	108.31588	148.6828
122	0.561329	3.454788	0.67119	54.259476	108.32997	148.70023
123	0.561847	3.453703	0.674017	54.249054	108.31014	148.67352
124	0.562309	3.455427	0.671135	54.26707	108.34369	148.72025
125	0.56314	3.448288	0.673737	54.274033	108.35314	148.73694
126	0.563525	3.451728	0.670898	54.250313	108.307884	148.67612
127	0.563984	3.450088	0.673304	54.21842	108.24728	148.59433
128	0.564359	3.451216	0.670681	54.260002	108.32508	148.70287
129	0.5654	3.448125	0.672968	54.22667	108.26178	148.61775
130	0.566071	3.453279	0.670559	54.185524	108.18373	148.51259
131	0.566911	3.45336	0.672709	54.163944	108.13883	148.4562
132	0.567537	3.452962	0.670424	54.112034	108.0397	148.3231
133	0.568984	3.453105	0.67261	54.052284	107.9257	148.16986
134	0.569526	3.4575	0.670217	54.02149	107.86572	148.0912
135	0.570774	3.456216	0.672606	53.989536	107.80335	148.0096
136	0.572029	3.459	0.669931	53.980328	107.790146	147.98718
137	0.573508	3.458277	0.672441	53.971474	107.77745	147.9652
138	0.57437	3.463344	0.670415	53.99278	107.81795	148.02219
139	0.576151	3.462821	0.672288	53.940685	107.720055	147.88933
140	0.577622	3.465502	0.670357	53.926388	107.69386	147.85144
141	0.579079	3.468209	0.672465	53.944904	107.72649	147.8997
142	0.580216	3.473222	0.670419	53.97255	107.77612	147.9716
143	0.581915	3.473352	0.672578	53.96966	107.76801	147.96121
144	0.582765	3.472349	0.670319	53.980198	107.78846	147.98677
145	0.583663	3.472548	0.672823	53.995632	107.81853	148.02469
146	0.585034	3.474085	0.670162	53.974026	107.77917	147.96964
147	0.585602	3.474823	0.671902	53.950092	107.735794	147.90878
148	0.585746	3.474339	0.670231	53.923824	107.688416	147.84215
149	0.587041	3.47433	0.672786	53.860516	107.57161	147.68253
150	0.587652	3.478941	0.67002	53.777924	107.42171	147.47148
151	0.588819	3.476975	0.672631	53.704975	107.28977	147.28537
152	0.589023	3.479743	0.6705	53.70006	107.28303	147.27385
153	0.589704	3.479375	0.673298	53.69152	107.269875	147.25322
154	0.590535	3.48005	0.671221	53.620457	107.14218	147.07253
155	0.590803	3.480046	0.673771	53.61693	107.13875	147.06514
156	0.59138	3.482152	0.671785	53.617542	107.14637	147.07019
157	0.592465	3.482561	0.673742	53.582012	107.08606	146.98206
158	0.592174	3.48356	0.671804	53.561123	107.04631	146.93048
159	0.592697	3.480751	0.674005	53.591156	107.10514	147.00883
160	0.593265	3.479385	0.671926	53.58592	107.09678	146.99828
161	0.594106	3.482511	0.673789	53.553936	107.0372	146.91489
162	0.594437	3.482478	0.672024	53.60222	107.128006	147.03883
163	0.59536	3.484106	0.673648	53.6493	107.215744	147.15933
164	0.595869	3.483199	0.672168	53.687164	107.28253	147.25421
165	0.597031	3.487017	0.673786	53.726063	107.35104	147.35172
166	0.597578	3.485043	0.672901	53.766186	107.42161	147.45232
167	0.598134	3.512633	0.673825	53.807716	107.494545	147.55647
168	0.598616	3.509277	0.673201	53.81614	107.50476	147.57748
169	0.599561	3.511678	0.67481	53.868282	107.59707	147.70834
170	0.59954	3.508607	0.673523	53.895306	107.64544	147.77621
